Name,Rank,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_log,EU_Sales_log,JP_Sales_log,Other_Sales_log,Global_Sales_log,Is_Japan_Hit
FIFA Soccer 11,200,PS3,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,0.4700036292457356,1.4562867329399256,0.058268908123975775,0.7561219797213337,1.8050046959780757,0
Uncharted: The Nathan Drake Collection,244,PS4,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47,1.085189268335969,0.9895411936137477,0.07696104113612832,0.5538851132264376,1.6992786164338898,0
Tony Hawk's Underground,307,PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9,1.1908875647772805,0.7747271675523681,0.009950330853168083,0.35065687161316933,1.589235205116581,0
The Simpsons: Road Rage,355,PS2,2001,Racing,Electronic Arts,2.02,1.17,0.0,0.42,3.61,1.1052568313867783,0.7747271675523681,0.0,0.35065687161316933,1.5282278570085572,0
Dragon Warrior II,603,NES,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56,0.13976194237515868,0.0,1.2267122912954256,0.0,1.269760544863939,1
Portal 2,791,X360,2011,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1,0.8796267475025636,0.412109650826833,0.009950330853168083,0.15700374880966475,1.1314021114911006,0
Pokemon Battle Revolution,1141,Wii,2006,Role-Playing,Nintendo,0.8,0.38,0.3,0.13,1.61,0.5877866649021191,0.32208349916911333,0.26236426446749106,0.12221763272424921,0.9593502213346021,0
Conflict: Desert Storm,1184,PS2,2002,Shooter,Gotham Games,0.98,0.53,0.0,0.06,1.57,0.6830968447064438,0.4252677354043441,0.0,0.058268908123975775,0.9439058989071285,0
MAG: Massive Action Game,1496,PS3,2010,Shooter,Sony Computer Entertainment,0.77,0.3,0.09,0.16,1.32,0.5709795465857378,0.26236426446749106,0.08617769624105233,0.14842000511827327,0.8415671856782186,0
Skylanders Giants,1499,X360,2012,Action,Activision,0.75,0.45,0.0,0.11,1.32,0.5596157879354227,0.37156355643248307,0.0,0.10436001532424277,0.8415671856782186,0
Guinness World Records: The Videogame,1990,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04,0.3784364357202451,0.3852624007906449,0.0,0.10436001532424277,0.712949807856125,0
F-Zero: Maximum Velocity,2002,GBA,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,0.3293037471426004,0.14842000511827327,0.31481073984003355,0.11332868530700317,0.712949807856125,0
The Lost World: Jurassic Park,2037,PS,1997,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02,0.4510756193602167,0.3293037471426004,0.0,0.06765864847381481,0.7030975114131134,0
Far Cry 3,2108,PC,2012,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98,0.1906203596086497,0.4824261492442927,0.0,0.1310282624064041,0.6830968447064438,0
Tetris 2,2113,NES,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98,0.4824261492442927,0.12221763272424921,0.1906203596086497,0.019802627296179712,0.6830968447064438,0
Dance Dance Revolution 2nd ReMIX,2154,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96,0.0,0.0,0.6418538861723948,0.058268908123975775,0.6729444732424258,0
Lizzie McGuire 2: Lizzie Diaries,2487,GBA,2004,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83,0.4700036292457356,0.1988508587451652,0.0,0.009950330853168083,0.6043159668533296,0
Brute Force,2490,XB,2003,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83,0.4824261492442927,0.16551443847757338,0.009950330853168083,0.0295588022415444,0.6043159668533296,0
Darksiders II,2584,X360,2012,Action,THQ,0.45,0.28,0.0,0.07,0.8,0.37156355643248307,0.2468600779315258,0.0,0.06765864847381481,0.5877866649021191,0
Classic NES Series: Donkey Kong,2798,GBA,2004,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,0.33647223662121295,0.13976194237515868,0.15700374880966475,0.009950330853168083,0.5481214085096876,0
Mercenaries: Playground of Destruction,2991,XB,2005,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,0.43178241642553783,0.10436001532424277,0.0,0.0295588022415444,0.5187937934151676,0
Tom Clancy's Rainbow Six,3158,N64,1999,Shooter,Red Storm Entertainment,0.48,0.15,0.0,0.01,0.64,0.3920420877760237,0.13976194237515868,0.0,0.009950330853168083,0.49469624183610705,0
Shin Megami Tensei IV,3506,3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.02,0.57,0.2468600779315258,0.0,0.23901690047049992,0.019802627296179712,0.4510756193602167,0
FIFA World Cup Germany 2006,3544,PS2,2006,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,0.3852624007906449,0.019802627296179712,0.0,0.07696104113612832,0.4510756193602167,0
Jampack Vol. 2,3779,PS,1996,Misc,Sony Computer Entertainment,0.3,0.2,0.0,0.03,0.53,0.26236426446749106,0.18232155679395462,0.0,0.0295588022415444,0.4252677354043441,0
Wu-Tang: Shaolin Style,4108,PS,1998,Fighting,Activision,0.27,0.18,0.0,0.03,0.48,0.23901690047049992,0.16551443847757338,0.0,0.0295588022415444,0.3920420877760237,0
Dragon Age Origins: Awakening,4161,X360,2010,Role-Playing,Electronic Arts,0.33,0.1,0.0,0.04,0.47,0.2851789422336624,0.09531017980432487,0.0,0.039220713153281295,0.3852624007906449,0
NBA Live 2005,4394,GC,2004,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45,0.30010459245033805,0.08617769624105233,0.0,0.009950330853168083,0.37156355643248307,0
Independence Day,4440,PS,1997,Shooter,Fox Interactive,0.25,0.17,0.0,0.03,0.44,0.22314355131420976,0.15700374880966475,0.0,0.0295588022415444,0.36464311358790924,0
Super Soccer,4983,SNES,1991,Sports,Nintendo,0.0,0.0,0.38,0.0,0.38,0.0,0.0,0.32208349916911333,0.0,0.32208349916911333,0
Terminator Salvation,5287,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.13,0.18,0.0,0.04,0.35,0.12221763272424921,0.16551443847757338,0.0,0.039220713153281295,0.30010459245033805,0
The Fairly Odd Parents: Shadow Showdown,5377,GBA,2004,Platform,THQ,0.25,0.09,0.0,0.01,0.34,0.22314355131420976,0.08617769624105233,0.0,0.009950330853168083,0.29266961396282,0
The Settlers 7: Paths to a Kingdom,5621,PC,2010,Strategy,Ubisoft,0.0,0.26,0.0,0.06,0.32,0.0,0.23111172096338664,0.0,0.058268908123975775,0.2776317365982795,0
